"","GPA_year1","GPA_year2","age","uni_first_choice","control","dad_HS_grad","dad_college_grad","english","female","finish_in_4_yrs","HS_GPA","grad_degree","first_sem_grade","live_home","last_min","mom_HS_grad","mom_college_grad","sfp_offer","sfp_signup","signup","ssp_offer","ssp_signup","work_plans"
"41",1.70000004768372,1.42999994754791,18,0,1,1,1,0,0,1,78.1999969482422,1,67,0,4,1,1,0,0,0,0,0,0
"42",3.08999991416931,2.40000009536743,18,0,1,1,1,0,0,1,85.8000030517578,0,78.5,1,3,1,1,0,0,0,0,0,0
"43",2.32999992370605,3.5699999332428,18,0,1,1,1,1,1,1,87,0,71,1,5,1,0,0,0,0,0,0,0
"44",2.59999990463257,2.9300000667572,19,0,1,0,0,1,0,1,79.8000030517578,1,78,1,4,0,0,0,0,0,0,0,0
"45",1.38999998569489,1.53999996185303,18,0,0,1,1,1,1,1,77.6999969482422,0,73,1,3,1,0,1,1,1,0,0,0
"46",1.5900000333786,2.29999995231628,18,0,1,1,1,1,0,1,75.8000030517578,0,67.5,0,4,1,1,0,0,0,0,0,0
"47",2.91000008583069,2.46000003814697,18,1,1,1,1,1,0,1,73.6999969482422,0,81.3333358764648,1,2,1,0,0,0,0,0,0,0
"48",2.11999988555908,2.9300000667572,19,1,0,1,0,1,0,1,76.8000030517578,0,60,1,4,1,0,1,0,0,0,0,0
"49",2.08999991416931,2.70000004768372,18,0,1,1,1,1,1,1,82.5,1,71,1,4,1,1,0,0,0,0,0,0
"50",3,2.20000004768372,19,0,1,1,1,1,0,1,79.1999969482422,1,74,1,3,1,0,0,0,0,0,0,0
"51",1.63999998569489,1.38999998569489,18,0,0,0,0,1,1,1,79.8000030517578,1,62.5,1,3,0,0,0,0,1,1,1,0
"52",2.6800000667572,2.67000007629395,18,0,1,1,0,1,1,0,77.8000030517578,0,78,1,3,0,0,0,0,0,0,0,0
"53",0,0.230000004172325,18,0,1,1,1,0,0,1,74.5,0,40,1,2,1,1,0,0,0,0,0,0
"54",1.19000005722046,0.829999983310699,18,1,0,1,1,1,0,1,85,0,60,1,2,1,1,1,1,1,0,0,0
"55",2.76999998092651,2.89000010490417,18,1,0,1,0,1,1,1,78.3000030517578,0,71.5,0,3,1,0,0,0,1,1,1,0
